編號,題目,語言,地區,結果模式,備註
1,,,,top3,
2,,,,top3,
3,,,,top3,
4,,,,top3,
5,,,,top3,
6,,,,top3,
7,,,,top3,
8,,,,top3,
9,,,,top3,
10,,,,top3,
11,,,,top3,
12,,,,top3,
13,,,,top3,
14,,,,top3,
15,,,,top3,
16,,,,top3,
17,,,,top3,
18,,,,top3,
19,,,,top3,
20,,,,top3,
21,,,,top3,
22,,,,top3,
23,,,,top3,
24,,,,top3,
25,,,,top3,
26,,,,top3,
27,,,,top3,
28,,,,top3,
29,,,,top3,
30,,,,top3,
31,,,,top3,
32,,,,top3,
33,,,,top3,
34,,,,top3,
35,,,,top3,
36,,,,top3,
37,,,,top3,
38,,,,top3,
39,,,,top3,
40,,,,top3,
41,,,,top3,
42,,,,top3,
43,,,,top3,
44,,,,top3,
45,,,,top3,
46,,,,top3,
47,,,,top3,
48,,,,top3,
49,,,,top3,
50,,,,top3,
51,,,,top3,
52,,,,top3,
53,,,,top3,
54,,,,top3,
55,,,,top3,
56,,,,top3,
57,,,,top3,
58,,,,top3,
59,,,,top3,
60,,,,top3,
61,,,,top3,
62,,,,top3,
63,,,,top3,
64,,,,top3,
65,,,,top3,
66,,,,top3,
67,,,,top3,
68,,,,top3,
69,,,,top3,
70,,,,top3,
71,,,,top3,
72,,,,top3,
73,,,,top3,
74,,,,top3,
75,,,,top3,
76,,,,top3,
77,,,,top3,
78,,,,top3,
79,,,,top3,
80,,,,top3,
81,,,,top3,
82,,,,top3,
83,,,,top3,
84,,,,top3,
85,,,,top3,
86,,,,top3,
87,,,,top3,
88,,,,top3,
89,,,,top3,
90,,,,top3,
91,,,,top3,
92,,,,top3,
93,,,,top3,
94,,,,top3,
95,,,,top3,
96,,,,top3,
97,,,,top3,
98,,,,top3,
99,,,,top3,
100,,,,top3,
